日期,开盘价,最高价,最低价,收盘价,成交量,持仓量,动态结算价
2025-07-08,5900,5957,5870,5931,24865,4290,5922
2025-07-09,5935,6089,5930,6070,31731,9140,6015
2025-07-10,6070,6363,6056,6253,77235,14483,6215
2025-07-11,6231,6293,6141,6183,64475,16038,6238
2025-07-14,6201,6260,6143,6189,37605,14760,6209
2025-07-15,6216,6230,6111,6144,24596,13970,6166
2025-07-16,6151,6180,6126,6166,14049,13891,6153
2025-07-17,6155,6165,6102,6122,12912,13126,6139
2025-07-18,6125,6209,6125,6164,12909,12958,6156
2025-07-21,6165,6269,6165,6241,21105,12910,6219
2025-07-22,6259,6292,6200,6278,20494,13685,6238
2025-07-23,6278,6292,6152,6196,14798,12060,6222
2025-07-24,6219,6279,6176,6226,10431,11978,6221
2025-07-25,6225,6437,6225,6387,23994,13432,6326
2025-07-28,6439,6439,6223,6251,20076,12222,6296
2025-07-29,6279,6315,6236,6296,10474,13067,6283
2025-07-30,6295,6334,6276,6307,10003,12826,6304
2025-07-31,6310,6348,6280,6294,9450,13020,6313
2025-08-01,6300,6310,6252,6260,6234,13078,6284
2025-08-04,6270,6286,6182,6240,7340,12859,6231
2025-08-05,6200,6232,6190,6220,5643,12769,6210
2025-08-06,6205,6268,6200,6246,5622,12918,6235
2025-08-07,6266,6298,6245,6248,6443,13498,6268
2025-08-08,6259,6260,6202,6204,5115,14201,6231
2025-08-11,6220,6260,6205,6230,5637,13779,6231
2025-08-12,6230,6286,6217,6250,6584,14400,6264
2025-08-13,6248,6272,6232,6237,3881,14786,6250
2025-08-14,6250,6253,6172,6179,6199,14833,6210
2025-08-15,6185,6207,6162,6189,4271,14698,6188
2025-08-18,6185,6196,6151,6186,5030,14110,6171
2025-08-19,6186,6206,6171,6182,3358,13983,6190
2025-08-20,6189,6269,6104,6205,11282,13106,6177
2025-08-21,6210,6233,6161,6200,6284,12889,6197
2025-08-22,6198,6241,6182,6208,5746,12693,6214
2025-08-25,6223,6236,6196,6206,5336,13064,6217
2025-08-26,6217,6227,6156,6156,4763,13195,6195
2025-08-27,6156,6190,6110,6114,5345,13178,6152
2025-08-28,6118,6125,6077,6095,4852,13215,6096
2025-08-29,6120,6129,6045,6047,5320,13418,6065
2025-09-01,6053,6064,5931,6010,7664,13278,6002
2025-09-02,6045,6045,5925,5936,5447,13794,5966
2025-09-03,5950,6024,5931,6005,6378,13502,5993
2025-09-04,5970,5989,5946,5970,3708,13717,5967
2025-09-05,5984,6075,5971,6049,5500,13428,6020
2025-09-08,6010,6034,6001,6013,2797,13370,6013
2025-09-09,6011,6020,5981,6006,2631,13674,5998
2025-09-10,6009,6033,5983,6019,2588,13597,6012
2025-09-11,6028,6047,6012,6040,2740,13650,6034
2025-09-12,6015,6034,5965,5988,4745,13100,5989
2025-09-15,6015,6049,5998,6032,4149,12379,6021
2025-09-16,6025,6100,6025,6073,4919,12122,6078
2025-09-17,6090,6098,6046,6057,2238,12075,6069
2025-09-18,6059,6070,5982,5999,4699,12356,6021
2025-09-19,5999,6010,5952,5966,3494,12678,5979
2025-09-22,5977,5977,5894,5921,5914,13202,5922
2025-09-23,5900,5906,5835,5870,6061,13466,5865
2025-09-24,5882,5942,5873,5907,5133,12986,5910
2025-09-25,5916,5945,5903,5922,2841,12544,5930
2025-09-26,5922,5930,5879,5903,3381,12191,5906
2025-09-29,5919,5929,5867,5885,3379,12255,5895
2025-09-30,5880,5880,5765,5800,5583,12379,5801
2025-10-09,5731,5782,5682,5763,5189,12994,5732
2025-10-10,5743,5786,5701,5734,4413,13531,5733
2025-10-13,5722,5750,5670,5682,6668,13554,5707
2025-10-14,5670,5680,5589,5597,5926,14189,5624
2025-10-15,5575,5612,5555,5579,3486,14304,5585
2025-10-16,5595,5662,5523,5644,10287,14027,5589
2025-10-17,5662,5662,5545,5566,6853,13989,5594
2025-10-20,5579,5633,5461,5461,8145,15376,5535
2025-10-21,5439,5512,5439,5476,9825,14410,5482
2025-10-22,5476,5580,5474,5563,7744,13581,5521
2025-10-23,5560,5650,5548,5604,6070,13463,5603
2025-10-24,5634,5642,5553,5572,7537,14268,5588
2025-10-27,5556,5620,5534,5569,6726,14879,5573
2025-10-28,5565,5574,5490,5495,4883,15332,5529
2025-10-29,5480,5530,5466,5526,6746,15827,5501
2025-10-30,5544,5573,5445,5445,8270,16065,5516
2025-10-31,5445,5507,5430,5494,6243,16172,5481
2025-11-03,5524,5540,5484,5506,8023,16529,5516
2025-11-04,5500,5510,5435,5438,9882,16566,5466
2025-11-05,5430,5448,5362,5418,12094,17063,5405
2025-11-06,5408,5438,5362,5398,7851,17435,5389
2025-11-07,5405,5480,5385,5422,9778,17685,5428
2025-11-10,5419,5436,5385,5422,7446,17781,5412
2025-11-11,5420,5432,5353,5354,8104,18290,5394
2025-11-12,5367,5445,5353,5434,10561,18184,5414
2025-11-13,5430,5567,5411,5539,26976,18519,5499
2025-11-14,5550,5600,5508,5526,17195,19858,5558
2025-11-17,5528,5598,5501,5547,14191,20275,5565
2025-11-18,5562,5580,5452,5467,11183,20275,5498
2025-11-19,5485,5549,5421,5533,14702,20921,5484
2025-11-20,5494,5647,5475,5596,22838,22523,5565
2025-11-21,5600,5607,5483,5508,19267,22718,5548
2025-11-24,5500,5510,5421,5435,16227,21873,5449
2025-11-25,5449,5463,5405,5411,9490,22715,5430
2025-11-26,5390,5479,5376,5463,13715,23294,5434
2025-11-27,5455,5492,5420,5437,15063,22987,5452
2025-11-28,5448,5497,5422,5479,10259,23426,5465
2025-12-01,5480,5488,5424,5455,10052,24075,5452
2025-12-02,5445,5467,5407,5454,11245,23524,5433
2025-12-03,5456,5475,5420,5441,10465,22857,5447
2025-12-04,5455,5473,5424,5455,9456,23142,5445
2025-12-05,5470,5485,5446,5483,8812,23228,5464
2025-12-08,5484,5577,5482,5560,16284,23910,5524
2025-12-09,5530,5561,5486,5492,12598,23616,5520
2025-12-10,5492,5503,5416,5440,14088,22323,5446
2025-12-11,5442,5492,5434,5447,11285,22657,5461
2025-12-12,5448,5463,5412,5420,7597,22587,5433
2025-12-15,5412,5464,5399,5448,7777,22621,5438
2025-12-16,5432,5457,5420,5440,6519,22917,5436
2025-12-17,5430,5439,5382,5388,9759,23181,5407
2025-12-18,5392,5420,5362,5381,9928,23156,5390
2025-12-19,5364,5404,5357,5394,8394,22982,5381
2025-12-22,5381,5462,5377,5459,12029,22817,5423
2025-12-23,5470,5500,5388,5425,13265,23659,5452
2025-12-24,5430,5473,5392,5461,11658,23458,5435
2025-12-25,5464,5464,5413,5434,8852,23984,5436
2025-12-26,5439,5497,5413,5490,12890,24138,5455
2025-12-29,5490,5627,5462,5469,30691,25916,5532
2025-12-30,5476,5521,5455,5487,14907,27128,5491
2025-12-31,5490,5516,5459,5463,9578,27285,5486
2026-01-05,5435,5464,5314,5406,15944,27774,5410
2026-01-06,5415,5438,5391,5433,9724,28571,5417
2026-01-07,5438,5486,5405,5464,18209,28809,5451
2026-01-08,5470,5502,5423,5442,14115,29661,5465
2026-01-09,5452,5485,5425,5479,12103,29288,5456
2026-01-12,5485,5599,5463,5573,26685,30029,5535
2026-01-13,5576,5590,5510,5584,16727,29870,5556
2026-01-14,5590,5740,5585,5707,33508,30967,5671
2026-01-15,5740,5760,5592,5648,24090,30857,5677
2026-01-16,5640,5723,5554,5656,29505,30435,5631
2026-01-19,5700,5837,5661,5827,40257,32809,5747
2026-01-20,5815,5832,5716,5767,32314,32328,5772
2026-01-21,5790,5894,5753,5805,40563,31096,5827
2026-01-22,5827,6000,5804,6000,32937,33601,5910
2026-01-23,5994,6127,5930,6056,55066,31843,6033
2026-01-26,6083,6173,6025,6078,31197,32149,6083
2026-01-27,6100,6100,5951,5990,23312,30853,6009
2026-01-28,6000,6180,5968,6130,29884,31613,6067
2026-01-29,6103,6247,6087,6236,29033,33604,6173
2026-01-30,6250,6434,6058,6161,55113,31570,6237
2026-02-02,6673,6673,5871,5921,43212,28241,6117
2026-02-03,5995,6132,5952,6096,21984,29065,6039
2026-02-04,6110,6217,6088,6210,22207,28166,6161
2026-02-05,6230,6258,6089,6127,28218,26129,6182
2026-02-06,6112,6142,6009,6070,22861,24253,6077
2026-02-09,6050,6117,5993,6024,22248,22308,6056
2026-02-10,6050,6065,5992,6034,21732,19243,6027
2026-02-11,6098,6170,6053,6165,4997,20536,6122
2026-02-12,6189,6223,6105,6115,6221,21888,6163
2026-02-13,6090,6113,6028,6045,4330,22063,6061
2026-02-24,6188,6288,6138,6254,8290,23403,6217
2026-02-25,6240,6314,6196,6224,12370,25418,6260
2026-02-26,6221,6243,6150,6161,15286,27054,6197
2026-02-27,6129,6163,6080,6125,15633,27653,6123
2026-03-02,6173,6551,6141,6551,31609,29454,6333
2026-03-03,6588,6821,6492,6761,39732,28834,6664
2026-03-04,6888,7018,6593,6863,53249,27369,6827
2026-03-05,6705,7304,6705,7251,56271,29766,7053
2026-03-06,7366,7546,7253,7546,86345,33371,7414
2026-03-09,8129,8155,8050,8155,6993,29884,8147
2026-03-10,9124,9124,7271,8007,88405,25034,8279
2026-03-11,7920,8266,7540,8047,56137,24582,7934
2026-03-12,8220,8886,8053,8297,80350,23788,8563
2026-03-13,8298,8480,8110,8288,47790,22396,8330
2026-03-16,8229,8633,8009,8451,41191,20489,8431
2026-03-17,8300,8500,7952,8443,31013,18483,8262
2026-03-18,8302,8450,8040,8154,30023,13353,8284
2026-03-19,8600,8632,8364,8476,24833,21278,8520
2026-03-20,8446,8506,8008,8333,28181,21344,8264
2026-03-23,8400,9246,8353,9205,37727,23666,8823
2026-03-24,8351,8808,8300,8501,39200,22162,8613
2026-03-25,8651,8666,7857,8313,31491,22217,8265
2026-03-26,8280,8428,8207,8420,21347,23221,8321
2026-03-27,8680,8880,8499,8880,43121,25598,8692
2026-03-30,9010,9300,8813,9062,38479,25892,9044
2026-03-31,9000,9160,8712,8790,36024,24404,8911
2026-04-01,8766,8890,8190,8190,38906,21856,8546
2026-04-02,8296,8798,8120,8659,36400,21547,8493
2026-04-03,9059,9059,8455,8850,40939,21634,8719
2026-04-07,8998,9143,8829,9000,21991,21913,8994
2026-04-08,9100,9100,8005,8290,33636,19970,8478
2026-04-09,8150,8644,8150,8516,25985,19871,8460
2026-04-10,8600,8600,8295,8415,26153,19504,8448
2026-04-13,8357,8580,8316,8497,21553,17307,8468
2026-04-14,8500,8578,8374,8552,24942,17088,8495
2026-04-15,8454,8890,8454,8760,26476,17402,8654
2026-04-16,8770,8837,8634,8757,13836,16379,8736
2026-04-17,8550,8680,8510,8554,9511,18370,8590
2026-04-20,8365,8563,8275,8410,18371,19302,8404
2026-04-21,8333,8399,8186,8250,17112,19682,8257
2026-04-22,8298,8320,8188,8256,14252,19524,8249
2026-04-23,8296,8441,8260,8414,15694,21016,8351
2026-04-24,8410,8540,8348,8406,13310,20941,8424
2026-04-27,8498,8515,8372,8450,12006,20473,8446
2026-04-28,8431,8520,8405,8519,9654,20413,8464
2026-04-29,8530,8688,8470,8550,15818,20097,8573
2026-04-30,8660,8724,8590,8660,12362,19617,8645
2026-05-06,8581,8690,8534,8637,10841,19823,8626
2026-05-07,8479,8537,8222,8270,19784,17305,8372
2026-05-08,8080,8256,7998,8032,15957,16539,8101
2026-05-11,8059,8282,8007,8235,14298,15617,8181
2026-05-12,8173,8220,8107,8178,8205,15096,8161
2026-05-13,8161,8241,8112,8154,9620,13792,8164
2026-05-14,8180,8185,7950,7987,12579,12503,8042
2026-05-15,7949,8158,7946,8129,8649,11202,8065
2026-05-18,8150,8317,8058,8304,8241,9863,8211
2026-05-19,8055,8178,8001,8165,6090,11918,8099
2026-05-20,8199,8251,8106,8150,5928,12454,8170
2026-05-21,8100,8184,8030,8151,6964,12977,8112
2026-05-22,8181,8193,7885,7950,10545,13256,8007
2026-05-25,7872,8023,7606,7718,18972,13977,7795
2026-05-26,7710,7728,7504,7577,15501,14999,7585
2026-05-27,7585,7673,7451,7514,13689,15020,7560
2026-05-28,7430,7614,7382,7547,13395,14924,7540
