日期,开盘价,最高价,最低价,收盘价,成交量,持仓量,动态结算价
2019-08-16,3600,3735,3597,3685,268800,28664,3686
2019-08-19,3690,3696,3662,3673,52502,25730,3679
2019-08-20,3679,3679,3655,3662,21768,24242,3666
2019-08-21,3664,3675,3663,3671,15386,21638,3670
2019-08-22,3675,3675,3616,3633,23448,21882,3639
2019-08-23,3630,3639,3625,3635,7190,20906,3632
2019-08-26,3640,3664,3623,3632,13120,21592,3642
2019-08-27,3633,3648,3628,3641,6742,20960,3639
2019-08-28,3640,3643,3626,3627,6666,23000,3629
2019-08-29,3621,3636,3600,3623,7224,23748,3624
2019-08-30,3624,3640,3611,3619,11028,24854,3626
2019-09-02,3626,3635,3619,3623,8028,25300,3626
2019-09-03,3626,3626,3611,3618,5222,25322,3618
2019-09-04,3620,3635,3601,3625,14308,26442,3618
2019-09-05,3635,3635,3616,3618,7620,26050,3622
2019-09-06,3617,3709,3616,3658,60784,32904,3663
2019-09-09,3663,3673,3623,3660,17402,33122,3651
2019-09-10,3663,3672,3645,3652,6618,33064,3654
2019-09-11,3653,3664,3630,3637,6696,31990,3643
2019-09-12,3635,3642,3628,3631,4166,31176,3635
2019-09-16,3635,3651,3629,3639,4980,31416,3644
2019-09-17,3642,3685,3639,3673,11958,32256,3658
2019-09-18,3681,3685,3656,3670,11186,31138,3669
2019-09-19,3666,3676,3663,3671,4758,29970,3670
2019-09-20,3668,3692,3645,3667,11402,28356,3671
2019-09-23,3664,3678,3662,3670,4758,27460,3671
2019-09-24,3666,3677,3655,3673,2942,26832,3667
2019-09-25,3666,3674,3645,3655,3610,26030,3657
2019-09-26,3651,3680,3650,3665,3314,25876,3667
2019-09-27,3650,3668,3640,3645,3812,24018,3648
2019-09-30,3642,3654,3638,3639,1928,23088,3645
2019-10-08,3636,3649,3630,3642,1454,22714,3638
2019-10-09,3642,3660,3640,3648,1762,22348,3648
2019-10-10,3655,3655,3643,3648,894,22356,3646
2019-10-11,3650,3650,3639,3641,1108,22272,3643
2019-10-14,3641,3648,3631,3641,1858,21648,3641
2019-10-15,3634,3649,3634,3634,1006,21720,3639
2019-10-16,3631,3643,3630,3637,1198,21184,3635
2019-10-17,3642,3643,3632,3639,668,20982,3636
2019-10-18,3635,3640,3634,3639,1240,20754,3637
2019-10-21,3636,3640,3630,3630,1008,20394,3634
2019-10-22,3630,3635,3609,3618,6528,16792,3618
2019-10-23,3616,3629,3610,3618,1394,16604,3618
2019-10-24,3629,3640,3609,3624,846,16546,3620
2019-10-25,3619,3627,3613,3617,710,16262,3619
2019-10-28,3617,3625,3617,3620,576,16136,3621
2019-10-29,3618,3624,3614,3622,944,15986,3619
2019-10-30,3624,3624,3617,3620,780,15916,3619
2019-10-31,3620,3649,3618,3629,2760,15406,3631
2019-11-01,3628,3630,3620,3624,728,15324,3623
2019-11-04,3624,3630,3621,3621,870,15170,3624
2019-11-05,3624,3631,3596,3615,5278,13270,3612
2019-11-06,3615,3620,3610,3620,1284,12588,3615
2019-11-07,3620,3626,3610,3619,910,12308,3616
2019-11-08,3619,3624,3610,3610,1448,11840,3617
2019-11-11,3610,3617,3603,3603,630,11766,3610
2019-11-12,3605,3614,3605,3605,242,11716,3608
2019-11-13,3610,3616,3608,3610,338,11588,3612
2019-11-14,3608,3614,3606,3612,254,11520,3611
2019-11-15,3611,3625,3607,3612,1024,11394,3617
2019-11-18,3611,3626,3610,3621,946,10984,3620
2019-11-19,3622,3756,3589,3620,1406,10508,3618
2019-11-20,3620,3620,3612,3619,472,10502,3615
2019-11-21,3614,3619,3603,3613,1110,10638,3609
2019-11-22,3615,3615,3603,3603,394,10644,3607
2019-11-25,3608,3613,3604,3608,716,10688,3607
2019-11-26,3609,3614,3605,3608,578,10546,3608
2019-11-27,3605,3609,3591,3593,618,10770,3600
2019-11-28,3598,3598,3565,3565,1686,10482,3582
2019-11-29,3576,3577,3563,3575,954,10220,3568
2019-12-02,3572,3577,3534,3544,2060,10116,3554
2019-12-03,3536,3544,3502,3508,1338,10002,3520
2019-12-04,3508,3515,3435,3439,4782,10036,3467
2019-12-05,3440,3461,3417,3423,4706,10300,3428
2019-12-06,3426,3449,3425,3436,2722,9700,3438
2019-12-09,3432,3448,3419,3419,1682,9170,3439
2019-12-10,3429,3450,3310,3418,1808,8986,0
2019-12-11,3423,3424,3383,3400,1218,8982,3396
2019-12-12,3406,3406,3390,3396,480,8840,3396
2019-12-13,3460,3462,3443,3455,668,8984,3456
2019-12-16,3410,3418,3380,3403,1430,7974,3395
2019-12-17,3463,3475,3460,3463,1088,8942,3464
2019-12-18,3462,3471,3451,3451,832,9020,3457
2019-12-19,3346,3346,3297,3297,3102,6430,3316
2019-12-20,3298,3308,3211,3216,5172,5000,3246
2019-12-23,3401,3425,3381,3417,5542,12788,0
2019-12-24,3428,3428,3403,3411,2028,12822,3411
2019-12-25,3407,3407,3277,3367,28958,15666,3342
2019-12-26,3360,3380,3351,3370,4454,15674,3369
2019-12-27,3384,3396,3364,3375,4800,15240,0
2019-12-30,3371,3383,3367,3380,2846,15000,3376
2019-12-31,3376,3376,3331,3367,4988,15168,3363
2020-01-02,3369,3373,3353,3359,989,7681,3364
2020-01-03,3353,3370,3341,3348,1241,7599,3356
2020-01-06,3344,3355,3325,3326,1290,7904,3339
2020-01-07,3321,3340,3321,3338,1398,8134,3332
2020-01-08,3333,3370,3326,3349,1946,8151,3353
2020-01-09,3347,3358,3339,3339,1428,8318,3348
2020-01-10,3339,3357,3339,3348,796,8295,3349
2020-01-13,3350,3362,3342,3361,1431,8328,0
2020-01-14,3356,3373,3352,3362,1490,8394,3360
2020-01-15,3360,3364,3340,3341,1190,8501,3348
2020-01-16,3348,3352,3341,3347,883,8692,3347
2020-01-17,3348,3360,3338,3339,1644,8797,3343
2020-01-20,3343,3355,3334,3340,1179,8624,3343
2020-01-21,3338,3348,3338,3340,614,8485,3342
2020-01-22,3347,3347,3324,3325,1114,8282,3331
2020-01-23,3315,3334,3312,3327,942,8129,3324
2020-02-03,3324,3405,3280,3369,8395,8336,3368
2020-02-04,3380,3397,3362,3383,5098,8111,3379
2020-02-05,3385,3395,3357,3384,3491,8104,0
2020-02-06,3384,3404,3378,3401,3797,8065,0
2020-02-07,3405,3428,3390,3418,5722,8809,0
2020-02-10,3425,3429,3365,3413,2741,8775,0
2020-02-11,3414,3420,3388,3394,1662,8729,3399
2020-02-12,3390,3410,3390,3396,1556,8640,3399
2020-02-13,3399,3410,3395,3400,1434,8681,0
2020-02-14,3407,3407,3351,3383,2894,7753,3380
2020-02-17,3388,3515,3388,3515,30073,14200,3486
2020-02-18,3490,3496,3445,3450,18650,12026,0
2020-02-19,3455,3480,3454,3460,5451,11570,0
2020-02-20,3444,3463,3438,3447,4329,11000,0
2020-02-21,3454,3464,3443,3445,2623,10840,0
2020-02-24,3445,3552,3445,3476,14104,10682,3509
2020-02-25,3470,3484,3440,3465,3716,10401,0
2020-02-26,3471,3501,3450,3466,5379,10451,0
2020-02-27,3478,3479,3452,3456,2528,9915,0
2020-02-28,3456,3461,3415,3425,5247,8193,0
2020-03-02,3430,3474,3398,3451,3904,8406,0
2020-03-03,3456,3476,3444,3455,2996,8476,0
2020-03-04,3460,3482,3445,3454,3783,8615,0
2020-03-05,3465,3469,3447,3464,1786,8283,0
2020-03-06,3470,3480,3453,3458,2448,8088,0
2020-03-09,3452,3453,3380,3414,3851,7006,0
2020-03-10,3438,3440,3394,3410,1516,6940,3409
2020-03-11,3410,3413,3382,3386,1915,6863,0
2020-03-12,3366,3384,3353,3373,1709,6260,0
2020-03-13,3365,3378,3348,3355,1664,5942,0
2020-03-16,3355,3380,3341,3343,1311,5893,0
2020-03-17,3358,3358,3301,3334,2198,5529,0
2020-03-18,3326,3360,3323,3333,1576,5142,3337
2020-03-19,3333,3358,3305,3346,1888,4671,0
2020-03-20,3346,3358,3323,3342,965,4460,0
2020-03-23,3334,3428,3334,3404,5573,4430,0
2020-03-24,3390,3432,3366,3382,2019,4223,0
2020-03-25,3382,3414,3382,3404,1126,4201,0
2020-03-26,3460,3574,3460,3561,11677,7801,0
2020-03-27,3560,3630,3507,3539,12044,8964,0
2020-03-30,3579,3700,3560,3674,23971,13974,0
2020-03-31,3670,3682,3605,3626,16398,16568,0
2020-04-01,3629,3640,3541,3558,18608,16405,0
2020-04-02,3560,3618,3503,3569,19139,17441,0
2020-04-03,3584,3608,3541,3563,10587,18306,0
2020-04-07,3573,3597,3533,3587,12683,19741,0
2020-04-08,3568,3584,3545,3552,9344,19781,0
2020-04-09,3558,3563,3544,3549,6099,19648,0
2020-04-10,3550,3588,3531,3553,10152,19442,0
2020-04-13,3540,3540,3470,3476,17139,22908,0
2020-04-14,3479,3480,3457,3473,6865,23268,0
2020-04-15,3488,3538,3463,3469,6905,23425,0
2020-04-16,3477,3489,3462,3475,5657,23161,0
2020-04-17,3474,3491,3458,3460,5743,23402,0
2020-04-20,3471,3508,3462,3488,10573,24538,0
2020-04-21,3490,3495,3423,3476,9079,24052,0
2020-04-22,3495,3499,3461,3480,8694,24807,0
2020-04-23,3488,3514,3484,3509,11070,26166,0
2020-04-24,3511,3524,3488,3492,10713,27248,0
2020-04-27,3500,3500,3444,3456,9965,28140,0
2020-04-28,3459,3460,3438,3442,5878,27302,0
2020-04-29,3436,3455,3428,3440,5342,26578,0
2020-04-30,3441,3454,3432,3434,4149,26403,0
2020-05-06,3441,3448,3420,3436,3650,25899,0
2020-05-07,3435,3457,3433,3442,6458,26648,0
2020-05-08,3449,3449,3355,3435,6804,25689,0
2020-05-11,3439,3446,3423,3423,3383,25996,0
2020-05-12,3422,3432,3409,3411,3347,25597,0
2020-05-13,3410,3420,3402,3412,2522,25579,0
2020-05-14,3415,3416,3388,3406,4029,24787,0
2020-05-15,3403,3434,3399,3426,6866,23944,0
2020-05-18,3427,3433,3401,3413,5476,23537,0
2020-05-19,3410,3435,3410,3431,5209,24134,0
2020-05-20,3431,3448,3424,3444,6127,25034,0
2020-05-21,3440,3447,3430,3433,5406,24644,0
2020-05-22,3432,3437,3399,3402,5655,24147,0
2020-05-25,3406,3420,3402,3410,2375,23774,0
2020-05-26,3409,3418,3406,3412,2131,23716,0
2020-05-27,3414,3429,3404,3426,4309,23265,0
2020-05-28,3428,3483,3424,3455,18572,25578,0
